,name,pop,lat,lon,2019
708,Redmond ,26617.0,47.6694141,-122.1238767,633976.2150651682
1956,Snoqualmie ,11107.0,47.53320720000001,-121.84349350000001,633700.2944949172
970,Montclair ,37373.0,40.82593320000001,-74.20903440000001,631585.9288617105
641,La Habra ,61052.0,33.9318775,-117.9461074,628147.4990382596
1458,Kenmore ,20960.0,47.7573202,-122.2440148,624044.3591030985
69,Oakland ,396649.0,37.804455700000005,-122.27135630000001,623440.1172085295
1990,Sonoma ,10714.0,38.511080299999996,-122.8473388,621237.8421803775
177,Garden Grove ,173281.0,33.7746292,-117.9463717,620690.5607610904
171,Santa Clarita ,177843.0,34.3916641,-118.54258600000001,618699.0984293205
2068,Rockport ,9509.0,28.020573300000002,-97.0544341,617655.1958121315
928,Edmonds ,39949.0,47.81057379999999,-122.3774952,614468.6564315122
58,Long Beach ,15168.0,33.7774658,-118.1884871,613695.127010323
56,Long Beach ,465825.0,33.7774658,-118.1884871,613695.127010323
57,Long Beach ,33463.0,33.7774658,-118.1884871,613695.127010323
208,Salinas ,152667.0,36.6777078,-121.65601140000001,613665.7106169164
724,Rosemead ,54165.0,34.0676169,-118.08797630000001,612883.6919949949
1625,Takoma Park ,17200.0,38.9778882,-77.0074765,611537.0598232946
351,Temecula ,102955.0,33.4946353,-117.14736609999999,611304.6710157917
1816,Spring Lake ,13504.0,40.153513200000006,-74.0293941,610808.8275127606
2156,Des Peres ,8381.0,38.5950643,-90.45567587,607838.956288206
1910,Ocean City ,11584.0,39.277615600000004,-74.5746001,606330.5967421697
1911,Ocean City ,7094.0,39.277615600000004,-74.5746001,606330.5967421697
1223,Benicia ,27192.0,38.049365,-122.1585777,605813.3953671211
268,Simi Valley ,125184.0,34.2694474,-118.78148200000001,601670.8541175554
1605,Newburyport ,17556.0,42.812591299999994,-70.87727509999999,600646.5556049767
1135,Cooper City ,30057.0,26.04707855,-80.27390797,598795.297741755
1483,Mukilteo ,20426.0,47.9474034,-122.30369920000001,596264.2895189193
435,San Leandro ,85989.0,37.7249296,-122.1560768,594866.380171328
725,Shoreline ,53755.0,47.756319500000004,-122.3438255,593156.7754082516
461,Kirkland ,82098.0,47.6859573,-122.1920249,592177.1622081144
1071,Lawndale ,32994.0,33.88711,-118.35314809999998,591715.9697357607
463,Buena Park ,81709.0,33.870413,-117.9962165,588917.2685891103
1227,Glen Cove ,27109.0,40.8623217,-73.63373890000001,587731.3224670726
312,Downey ,112541.0,33.9400143,-118.1325688,585579.022630634
2250,Cotati ,7310.0,38.326679799999994,-122.70684409999998,584712.3047806454
180,Fort Lauderdale ,169045.0,26.122308399999998,-80.14337859999999,584374.201235136
810,La Mirada ,48832.0,33.906097100000004,-118.0107092,583654.6768964541
1852,Atlantic Beach ,12741.0,40.5889936,-73.7290207,582371.3821173033
1048,Bothell ,34113.0,47.759853,-122.20682169999999,581936.780677097
181,Rancho Cucamonga ,168210.0,34.1063989,-117.5931084,580872.5197139169
332,West Covina ,107006.0,34.0686208,-117.93895259999998,580678.6020259452
107,Chula Vista ,248684.0,32.6400541,-117.0841955,580422.1202277448
519,Upland ,74623.0,34.09751,-117.64838759999999,580251.6753942986
675,La Mesa ,57777.0,33.436188,-111.58606609999998,578605.6575458203
124,Scottsdale ,219841.0,33.5091215,-111.8992365,577662.0516651915
106,Jersey City ,253117.0,40.7281575,-74.0776417,577277.5093129743
2186,Purcellville ,8073.0,39.1367717,-77.7147153,577057.8633166418
378,Sandy Springs ,97011.0,33.92426879999999,-84.37853790000001,574401.6969126655
1928,Port Washington ,11357.0,40.825656099999996,-73.6981858,573440.1307419611
1567,Pinole ,18548.0,38.0043667,-122.29885870000001,571928.6655392803
83,Santa Ana ,328856.0,33.749959499999996,-117.87328259999998,570709.2916344
756,Watsonville ,51582.0,36.9092773,-121.7529071,567401.1854692057
